KB,Words,Pages,Year,Name,Words/Kb
132,12536,50.144,1994,usc01,94.97
3648,389288,1557.152,1994,usc02,106.71
422,53648,214.592,1994,usc03,127.13
87,7726,30.904,1994,usc04,88.80
7751,878611,3514.444,1994,usc05,113.35
1851,244929,979.716,1994,usc05a,132.32
7,590,2.36,1994,usc06,84.29
7607,881197,3524.788,1994,usc07,115.84
2570,312751,1251.004,1994,usc08,121.69
74,5953,23.812,1994,usc09,80.45
15523,1631974,6527.896,1994,usc10,105.13
211,19128,76.512,1994,usc10a,90.65
2104,260165,1040.66,1994,usc11,123.65
924,106786,427.144,1994,usc11a,115.57
12686,1458708,5834.832,1994,usc12,114.99
322,34091,136.364,1994,usc13,105.87
1068,105808,423.232,1994,usc14,99.07
12222,1368774,5475.096,1994,usc15,111.99
17088,1799377,7197.508,1994,usc16,105.30
1337,167890,671.56,1994,usc17,125.57
6260,668219,2672.876,1994,usc18,106.74
1306,174365,697.46,1994,usc18a,133.51
6101,671324,2685.296,1994,usc19,110.04
12468,1285094,5140.376,1994,usc20,103.07
3332,385660,1542.64,1994,usc21,115.74
11481,1205529,4822.116,1994,usc22,105.00
1586,202985,811.94,1994,usc23,127.99
411,37593,150.372,1994,usc24,91.47
6546,650620,2602.48,1994,usc25,99.39
24348,2851048,11404.192,1994,usc26,117.10
479,56081,224.324,1994,usc26a,117.08
168,18481,73.924,1994,usc27,110.01
5118,578999,2315.996,1994,usc28,113.13
4167,524636,2098.544,1994,usc28a,125.90
6513,720340,2881.36,1994,usc29,110.60
3059,332050,1328.2,1994,usc30,108.55
